trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-64.77009349061335,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-110.20481819932175,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-109.40022854583272,"{0: 22, 1: 4, 2: 7, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,10,-1.6867864879981151,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-50.70557064096,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-116.45376239316353,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-103.11233414649104,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-118.17202884713947,"{0: 17, 1: 1, 2: 2, 3: 4, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-84.79419262676203,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,11,4.900085046906957,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-85.68750412487594,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-91.14975667163752,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,9,-82.30585874984496,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,5,-37.52050771411397,"{0: 11, 1: 1, 2: 1, 3: 2, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,24.49610177114751,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,2,-96.24613193269641,"{0: 22, 1: 0, 2: 3, 3: 1, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,24.452565583379798,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,21.80669722711558,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-45.326065819348514,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,9,-6.577784791449459,"{0: 19, 1: 0, 2: 0, 3: 2, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,3,24.442461935173213,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,0,42.3765950916157,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,28.151918100447578,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",35,0,49.808481050917436,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,8,-16.802674519076852,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,1,5.32154541273084,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,5,24.019665219949978,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,0,27.578721177745845,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,22.713090163079446,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,10,15.994809305940159,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
