trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 4.0}",20,0,-162.08939136980567,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.75, 'e': 4.0}",25,14,-68.57284253042356,"{0: 5, 1: 3, 2: 2, 3: 0, 4: 1}",1
3,False,"{'a': 0.75, 'e': 4.0}",30,0,-201.19198368436628,"{0: 16, 1: 2, 2: 7, 3: 3, 4: 2}",0
4,False,"{'a': 0.75, 'e': 4.0}",20,0,-155.11175680976203,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
5,False,"{'a': 0.75, 'e': 4.0}",20,0,-133.97095239051038,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.75, 'e': 4.0}",25,0,-75.42606743574247,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.75, 'e': 4.0}",20,15,1.6793225471629054,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.75, 'e': 4.0}",20,0,-164.2405840098348,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
9,False,"{'a': 0.75, 'e': 4.0}",25,0,-94.18561217082572,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.75, 'e': 4.0}",20,0,-34.604146644448925,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.75, 'e': 4.0}",20,0,-27.631527676532553,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
12,False,"{'a': 0.75, 'e': 4.0}",25,0,-142.12688601637763,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.75, 'e': 4.0}",30,0,-96.50301057895359,"{0: 19, 1: 4, 2: 4, 3: 3, 4: 0}",0
14,False,"{'a': 0.75, 'e': 4.0}",30,8,-117.10981849237841,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 1}",1
15,False,"{'a': 0.75, 'e': 4.0}",35,18,-144.9072498423366,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 3}",1
16,False,"{'a': 0.75, 'e': 4.0}",30,0,-86.5484729858848,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.75, 'e': 4.0}",30,0,-119.44024116335258,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.75, 'e': 4.0}",20,0,-147.20685941296895,"{0: 10, 1: 5, 2: 2, 3: 0, 4: 3}",0
19,False,"{'a': 0.75, 'e': 4.0}",25,0,-144.44398508569932,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
20,False,"{'a': 0.75, 'e': 4.0}",25,0,-163.87683105126348,"{0: 11, 1: 2, 2: 9, 3: 2, 4: 1}",0
21,False,"{'a': 0.75, 'e': 4.0}",25,0,-84.52054331583054,"{0: 15, 1: 7, 2: 2, 3: 0, 4: 1}",0
22,False,"{'a': 0.75, 'e': 4.0}",25,0,-148.85108220440162,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
23,False,"{'a': 0.75, 'e': 4.0}",30,0,-113.44847381326737,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
24,False,"{'a': 0.75, 'e': 4.0}",20,0,-69.28253631879956,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
25,False,"{'a': 0.75, 'e': 4.0}",30,0,-137.58991888852884,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 2}",0
26,False,"{'a': 0.75, 'e': 4.0}",20,0,-171.01174515206523,"{0: 7, 1: 4, 2: 6, 3: 1, 4: 2}",0
27,False,"{'a': 0.75, 'e': 4.0}",20,0,-131.10983008248394,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
28,False,"{'a': 0.75, 'e': 4.0}",25,0,-116.70045198091208,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
29,False,"{'a': 0.75, 'e': 4.0}",25,0,-171.69837743706876,"{0: 13, 1: 6, 2: 2, 3: 1, 4: 3}",0
30,False,"{'a': 0.75, 'e': 4.0}",20,7,-155.96282818131328,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 3}",1
31,False,"{'a': 0.75, 'e': 4.0}",25,0,-67.96016786155782,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
32,False,"{'a': 0.75, 'e': 4.0}",30,0,-185.82649438946882,"{0: 21, 1: 3, 2: 1, 3: 1, 4: 4}",0
33,False,"{'a': 0.75, 'e': 4.0}",30,0,-114.63805180926367,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
34,False,"{'a': 0.75, 'e': 4.0}",30,0,-199.3872614825309,"{0: 16, 1: 2, 2: 8, 3: 2, 4: 2}",0
35,False,"{'a': 0.75, 'e': 4.0}",20,0,-65.01264304923087,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
36,False,"{'a': 0.75, 'e': 4.0}",20,0,-180.91075024274758,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 4}",0
37,False,"{'a': 0.75, 'e': 4.0}",30,0,-121.7125523601669,"{0: 19, 1: 1, 2: 9, 3: 0, 4: 1}",0
38,False,"{'a': 0.75, 'e': 4.0}",20,0,-78.68061696218909,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
39,False,"{'a': 0.75, 'e': 4.0}",30,0,-200.8963193154445,"{0: 18, 1: 3, 2: 4, 3: 2, 4: 3}",0
40,False,"{'a': 0.75, 'e': 4.0}",30,0,-208.66282812460923,"{0: 12, 1: 4, 2: 12, 3: 0, 4: 2}",0
41,False,"{'a': 0.75, 'e': 4.0}",25,0,-86.53209760965265,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
42,False,"{'a': 0.75, 'e': 4.0}",30,15,-20.3843092606383,"{0: 10, 1: 4, 2: 0, 3: 1, 4: 0}",1
43,False,"{'a': 0.75, 'e': 4.0}",25,0,-142.1714135133343,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
44,False,"{'a': 0.75, 'e': 4.0}",20,0,-101.17187118237834,"{0: 8, 1: 3, 2: 8, 3: 1, 4: 0}",0
45,False,"{'a': 0.75, 'e': 4.0}",30,0,-218.3056115999803,"{0: 17, 1: 4, 2: 4, 3: 1, 4: 4}",0
46,False,"{'a': 0.75, 'e': 4.0}",25,0,-199.56897069138864,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
47,False,"{'a': 0.75, 'e': 4.0}",30,0,-53.93229510366927,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
48,False,"{'a': 0.75, 'e': 4.0}",20,0,-121.54964488486151,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
49,False,"{'a': 0.75, 'e': 4.0}",20,0,-80.73484113871436,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
50,False,"{'a': 0.75, 'e': 4.0}",20,0,-135.61800315479124,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
51,False,"{'a': 0.75, 'e': 4.0}",20,0,-120.29224793608653,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
52,False,"{'a': 0.75, 'e': 4.0}",25,0,-181.96885837077818,"{0: 12, 1: 1, 2: 9, 3: 1, 4: 2}",0
53,False,"{'a': 0.75, 'e': 4.0}",25,0,-179.95305192793975,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
54,False,"{'a': 0.75, 'e': 4.0}",25,0,-48.410029919819166,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
55,False,"{'a': 0.75, 'e': 4.0}",30,0,-203.91419016165798,"{0: 15, 1: 4, 2: 8, 3: 0, 4: 3}",0
