trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-186.0362008213287,"{0: 7, 1: 2, 2: 8, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.58052652809133,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.41411339185065,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.27428025901156,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.78953118103357,"{0: 12, 1: 6, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-245.1652435882323,"{0: 20, 1: 4, 2: 6, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.55472143265834,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-236.41132640068383,"{0: 15, 1: 4, 2: 6, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.57697664537656,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.63528081966356,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-167.3844107421057,"{0: 8, 1: 1, 2: 9, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-209.48014658486133,"{0: 16, 1: 2, 2: 5, 3: 6, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-94.4360978959337,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-201.2185141358285,"{0: 11, 1: 4, 2: 7, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,4,-71.95628265390205,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.64497526221837,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.52474010464269,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.68167829848238,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-273.295208922113,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 5}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-225.42292711588084,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-125.19375057106289,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-96.89520861188097,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-129.15471708198487,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.88841940228889,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-67.12853457366259,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-141.53837428877642,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-82.85362800922437,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-137.1962815800389,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-161.51507327096553,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-13.329608176118379,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
11,True,"{'a': 0.5, 'e': 1.0}",20,0,-76.4777601343385,"{0: 9, 1: 6, 2: 4, 3: 1, 4: 0}",0
12,True,"{'a': 0.5, 'e': 1.0}",25,5,-103.81827153723478,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",1
13,True,"{'a': 0.5, 'e': 1.0}",25,0,-193.49351654614304,"{0: 13, 1: 4, 2: 3, 3: 2, 4: 3}",0
14,True,"{'a': 0.5, 'e': 1.0}",20,0,-203.08725595672334,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
15,True,"{'a': 0.5, 'e': 1.0}",20,0,-84.62923870806453,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
16,True,"{'a': 0.5, 'e': 1.0}",25,10,-69.19493757746751,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 1}",1
17,True,"{'a': 0.5, 'e': 1.0}",25,0,-121.6217526936707,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
18,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.02795350233458,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
19,True,"{'a': 0.5, 'e': 1.0}",20,0,-62.586700810853685,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
20,True,"{'a': 0.5, 'e': 1.0}",20,0,-169.7908168365853,"{0: 10, 1: 2, 2: 3, 3: 3, 4: 2}",0
21,True,"{'a': 0.5, 'e': 1.0}",25,0,-90.53771140072203,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
22,True,"{'a': 0.5, 'e': 1.0}",20,0,-80.67319885579434,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
23,True,"{'a': 0.5, 'e': 1.0}",25,0,-261.87087643444625,"{0: 9, 1: 5, 2: 4, 3: 4, 4: 3}",0
24,True,"{'a': 0.5, 'e': 1.0}",20,0,-130.85909769140432,"{0: 7, 1: 4, 2: 8, 3: 0, 4: 1}",0
25,True,"{'a': 0.5, 'e': 1.0}",20,0,-100.21327003971778,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
26,True,"{'a': 0.5, 'e': 1.0}",20,0,-93.57947313537696,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
27,True,"{'a': 0.5, 'e': 1.0}",30,0,-178.46959944820352,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
28,True,"{'a': 0.5, 'e': 1.0}",30,0,-245.19229729601867,"{0: 14, 1: 4, 2: 6, 3: 3, 4: 3}",0
29,True,"{'a': 0.5, 'e': 1.0}",20,0,-25.189964842139645,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
30,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.41976277754333,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
31,True,"{'a': 0.5, 'e': 1.0}",20,0,-151.37592750743147,"{0: 8, 1: 2, 2: 7, 3: 2, 4: 1}",0
32,True,"{'a': 0.5, 'e': 1.0}",30,0,-232.02458626593193,"{0: 14, 1: 1, 2: 12, 3: 0, 4: 3}",0
33,True,"{'a': 0.5, 'e': 1.0}",20,3,-49.62509816113322,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
34,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.728304394113,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
35,True,"{'a': 0.5, 'e': 1.0}",20,0,-85.17424844369272,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
